identifier,taxon_of_interest,family,genus,species,Fragment,Scoloptoxin?
None|Oran7|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran8|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Oran9|Ornithorhynchus_anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,full_seq (SP),
None|Gaga_1|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_2|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_3|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_4|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_5|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_6|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_7|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Gaga_8|Gallus_gallus,Aves,Phasianidae,Gallus,Gallus gallus,full_seq (SP),
None|Alsi_1|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_10|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_2|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_3|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_4|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_5|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_6|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_7|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_8|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Alsi_9|Alligator_sinensis,Crocodylia,Alligatoridae,Alligator,Alligator sinensis,full_seq (SP),
None|Chmy_1|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,mature_seq (NO_SP),
None|Chmy_10|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_11|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_12|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_13|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,mature_seq (NO_SP),
None|Chmy_2|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_3|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_4|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,mature_seq (NO_SP),
None|Chmy_5|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_6|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_7|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Chmy_9|Chelonia_mydas,Testudines,Cheloniidae,Chelonia,Chelonia mydas,full_seq (SP),
None|Povi_1|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_10|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_11|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_12|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_3|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_5|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,mature_seq (NO_SP),
None|Povi_6|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_7|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_8|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,mature_seq (NO_SP),
None|Povi_9|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Povi_4|Pogona_vitticeps,Iguania,Agamidae,Pogona,Pogona vitticeps,full_seq (SP),
None|Anca_1|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_10|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_2|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_3|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_5|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_6|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_7|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_8|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_9|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Anca_4|Anolis_carolinensis,Iguania,Dactyloidae,Anolis,Anolis carolinensis,full_seq (SP),
None|Vako_dn2|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,mature_seq (NO_SP),
None|Vako_dn3|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,mature_seq (NO_SP),
None|Vako_dn8|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,mature_seq (NO_SP),
None|Vako1|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako10|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako5|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako6|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako7|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako9|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
None|Vako_dn4|Varanus_komodoensis,Varanidae,Varanidae,Varanus,Varanus komodoensis,full_seq (SP),
TR|M9T1L2|Aspidites_melanocephalus,Pythonidae,Pythonidae,Aspidites,Aspidites melanocephalus,full_seq (SP),
TR|M9T271|Aspidites_melanocephalus,Pythonidae,Pythonidae,Aspidites,Aspidites melanocephalus,full_seq (SP),
NCBI|Pbiv_NW_006541926_1_gene_1_mRNA_1|Python_bivittatus,Pythonidae,Pythonidae,Python,Python bivittatus,mature_seq (NO_SP),
NCBI|Pbiv_NW_006543148_1_gene_1_mRNA_1|Python_bivittatus,Pythonidae,Pythonidae,Python,Python bivittatus,mature_seq (NO_SP),
None|Pybi_1|Python_bivittatus,Pythonidae,Pythonidae,Python,Python bivittatus,full_seq (SP),
None|Pybi_2|Python_bivittatus,Pythonidae,Pythonidae,Python,Python bivittatus,mature_seq (NO_SP),
None|Pybi_3|Python_bivittatus,Pythonidae,Pythonidae,Python,Python bivittatus,full_seq (SP),
TR|A0A098LY61|Python_regius,Pythonidae,Pythonidae,Python,Python regius,full_seq (SP),
TR|A0A098LWQ5|Python_regius,Pythonidae,Pythonidae,Python,Python regius,full_seq (SP),
TR|A0A098LY55|Python_regius,Pythonidae,Pythonidae,Python,Python regius,full_seq (SP),
TR|A0A098LY67|Python_regius,Pythonidae,Pythonidae,Python,Python regius,full_seq (SP),
TR|M9SZR1|Cylindrophis_ruffus,Cylindrophiidae,Cylindrophiidae,Cylindrophis,Cylindrophis ruffus,full_seq (SP),
TR|M9T2J4|Azemiops_feae,Viperidae,Viperidae,Azemiops,Azemiops feae,full_seq (SP),
NCBI|BOTJA_GEXA01000001.1_15_275|Bothrops_jararaca,Viperidae,Viperidae,Bothrops,Bothrops jararaca,mature_seq (NO_SP),
SP|P84716|Causus_rhombeatus,Viperidae,Viperidae,Causus,Causus rhombeatus,mature_seq (NO_SP),
TR|A0A1W7RBC9|Crotalus_adamanteus,Viperidae,Viperidae,Crotalus,Crotalus adamanteus,full_seq (SP),
TR|A0A1W7RBD9|Crotalus_adamanteus,Viperidae,Viperidae,Crotalus,Crotalus adamanteus,full_seq (SP),
NCBI|CROCE_GGMJ01000004.1_1_267|Crotalus_cerastes,Viperidae,Viperidae,Crotalus,Crotalus cerastes,mature_seq (NO_SP),
NCBI|CROCE_GGMJ01000005.1_1_252|Crotalus_cerastes,Viperidae,Viperidae,Crotalus,Crotalus cerastes,mature_seq (NO_SP),
NCBI|CROSC_GGIP01000025.1_1_252|Crotalus_scutulatus,Viperidae,Viperidae,Crotalus,Crotalus scutulatus,full_seq (SP),
NCBI|CROTI_XM_039332036.1_300_557|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,full_seq (SP),
NCBI|CROTI_XM_039332037.1_103_360|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,full_seq (SP),
NCBI|CROTI_XM_039332038.1_21_260|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,full_seq (SP),
NCBI|CROTI_XR_005555302.1_67_312|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,mature_seq (NO_SP),
NCBI|CROTI_XR_005555304.1_268_468|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,mature_seq (NO_SP),
NCBI|CROTI_XR_005555300.1_149_355|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,mature_seq (NO_SP),
NCBI|CROTI_XR_005557461.1_417_620|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,mature_seq (NO_SP),
NCBI|CROTI_XR_005557464.1_96_332|Crotalus_tigris,Viperidae,Viperidae,Crotalus,Crotalus tigris,mature_seq (NO_SP),
None|Cvir_PDHV02000066_1_88429_90401|Crotalus_viridis,Viperidae,Viperidae,Crotalus,Crotalus viridis,full_seq (SP),
None|Cvir_PDHV02000188_1_35190_37247_mka|Crotalus_viridis,Viperidae,Viperidae,Crotalus,Crotalus viridis,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_1_mka|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_2_mka|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_3_mka|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_4_mka|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_5_mka|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold1201_gene_1_mRNA_6|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
None|Dacu_scaffold2000_gene_1_mRNA_1|Deinagkistrodon_acutus,Viperidae,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,full_seq (SP),
NCBI|GLOIN_GHUB01014925.1_176_436|Gloydius_intermedius,Viperidae,Viperidae,Gloydius,Gloydius intermedius,mature_seq (NO_SP),
NCBI|GLOIN_GHUB01014927.1_176_415|Gloydius_intermedius,Viperidae,Viperidae,Gloydius,Gloydius intermedius,mature_seq (NO_SP),
NCBI|GLOIN_GHUB01072089.1_C300_49|Gloydius_intermedius,Viperidae,Viperidae,Gloydius,Gloydius intermedius,mature_seq (NO_SP),
NCBI|GLOIN_GHUB01143089.1_C464_201|Gloydius_intermedius,Viperidae,Viperidae,Gloydius,Gloydius intermedius,mature_seq (NO_SP),
TR|U3T794|Protobothrops_flavoviridis,Viperidae,Viperidae,Protobothrops,Protobothrops flavoviridis,full_seq (SP),
None|Prmu_3|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,mature_seq (NO_SP),
None|Prmu_6|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,full_seq (SP),
NCBI|PROMU_XM_015823117.1_32_274|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,full_seq (SP),
NCBI|Protobothrops_mucrosquamatus_XP_015678608|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,full_seq (SP),
None|Prmu_2|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,full_seq (SP),
None|Prmu_4|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,full_seq (SP),
None|Prmu_5|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,mature_seq (NO_SP),
None|Prmu_7|Protobothrops_mucrosquamatus,Viperidae,Viperidae,Protobothrops,Protobothrops mucrosquamatus,mature_seq (NO_SP),
None|Pseudocerastes_urarachnoides_3FTx_05|Pseudocerastes_urarachnoides,Viperidae,Viperidae,Pseudocerastes,Pseudocerastes urarachnoides,full_seq (SP),
None|Pseudocerastes_urarachnoides_3FTx_06|Pseudocerastes_urarachnoides,Viperidae,Viperidae,Pseudocerastes,Pseudocerastes urarachnoides,mature_seq (NO_SP),
TR|A5X2W6|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
SP|A5X2W8|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
TR|A5X2W7|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
TR|A5X2W9|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
TR|A5X2X0|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
TR|B4Y143|Sistrurus_catenatus_edwardsii,Viperidae,Viperidae,Sistrurus,Sistrurus catenatus edwardsii,full_seq (SP),
NCBI|VIPTR_OL439441.1_1_264|Vipera_transcaucasiana,Viperidae,Viperidae,Vipera,Vipera transcaucasiana,full_seq (SP),
None|Vipera_transcaucasiana_3FTx_08|Vipera_transcaucasiana,Viperidae,Viperidae,Vipera,Vipera transcaucasiana,mature_seq (NO_SP),
None|Vipera_transcaucasiana_3FTx_09|Vipera_transcaucasiana,Viperidae,Viperidae,Vipera,Vipera transcaucasiana,mature_seq (NO_SP),
None|Vipera_transcaucasiana_3FTx_10|Vipera_transcaucasiana,Viperidae,Viperidae,Vipera,Vipera transcaucasiana,mature_seq (NO_SP),
NCBI|Atractaspis_aterrima_GAME01026808|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAME01039965.1_33_296|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|Atractaspis_aterrima_GAMF01005539|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|Atractaspis_aterrima_GAMF01040875|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|Atractaspis_aterrima_GAMF01050194|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|Atractaspis_aterrima_GAMF01055489|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAMF01005539.1_32_289|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAMF01035612.1_104_391|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAMF01040875.1_33_287|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAMF01047773.1_120_359|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
NCBI|ATRAT_GAMF01050194.1_30_284|Atractaspis_aterrima,Lamprophiidae,Lamprophiidae,Atractaspis,Atractaspis aterrima,mature_seq (NO_SP),
SP|A7X3R6|Leioheterodon_madagascariensis,Lamprophiidae,Lamprophiidae,Leioheterodon,Leioheterodon madagascariensis,full_seq (SP),
NCBI|MALIN_GFTV01000051.1_C343_146|Malpolon_insignitus,Lamprophiidae,Lamprophiidae,Malpolon,Malpolon insignitus,mature_seq (NO_SP),
NCBI|MALMO_OL366269.1_1_252|Malpolon_monspessulanus,Lamprophiidae,Lamprophiidae,Malpolon,Malpolon monspessulanus,full_seq (SP),
None|Malpolon_monspessulanus_unigene50403|Malpolon_monspessulanus,Lamprophiidae,Lamprophiidae,Malpolon,Malpolon monspessulanus,mature_seq (NO_SP),
SP|A7X3M3|Psammophis_mossambicus,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis mossambicus,full_seq (SP),
NCBI|PSASC_OL366271.1_1_249|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,full_seq (SP),
None|Psammophis_schokari_unigene276500|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,mature_seq (NO_SP),
NCBI|PSASC_OL366270.1_1_258|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,full_seq (SP),
NCBI|PSASC_OL366274.1_1_264|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,full_seq (SP),
None|Psammophis_schokari_unigene221596|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,mature_seq (NO_SP),
None|Psammophis_schokari_unigene36962|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,mature_seq (NO_SP),
None|Psammophis_schokari_unigene503446|Psammophis_schokari,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis schokari,mature_seq (NO_SP),
NCBI|PSASU_OL439254.1_1_252|Psammophis_subtaeniatus,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis subtaeniatus,full_seq (SP),
None|Psammophis_subtaeniatus_unigene107172|Psammophis_subtaeniatus,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis subtaeniatus,mature_seq (NO_SP),
None|Psammophis_subtaeniatus_unigene33896|Psammophis_subtaeniatus,Lamprophiidae,Lamprophiidae,Psammophis,Psammophis subtaeniatus,mature_seq (NO_SP),
TR|A0A193CHL3|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,full_seq (SP),
TR|A0A346CLY6|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A346CLY7|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A193CHL5|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,full_seq (SP),
TR|A0A346CLY8|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A346CLZ0|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A346CLZ1|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A346CM15|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A346CM25|Ahaetulla_prasina,Colubridae,Colubridae,Ahaetulla,Ahaetulla prasina,mature_seq (NO_SP),
TR|A0A481MQM5|Boiga_cynodon,Colubridae,Colubridae,Boiga,Boiga cynodon,full_seq (SP),
TR|A0A193CHL1|Boiga_cynodon,Colubridae,Colubridae,Boiga,Boiga cynodon,full_seq (SP),
NCBI|Boiga_dendrophila_dendrophila_GGUB01000001|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
TR|A0A481MQP4|Boiga_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
SP|Q06ZW0|Boiga_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
TR|A0A481MQJ6|Boiga_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
TR|A0A481MQK7|Boiga_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
TR|A0A481MQL7|Boiga_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila,full_seq (SP),
