identifier	split	actual_label	predicted_label	confidence
P86824	val	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9996868371963501
Q2ES48	val	nontox	Venom Kunitz-type family	0.9817836880683899
Q64356	val	nontox	Scoloptoxin family	0.8764812350273132
Q68Y22	val	nontox	Formicidae venom family	0.9981933236122131
Q6ITB4	val	nontox	Venom Kunitz-type family	0.9607598781585693
Q90W97	val	nontox	Venom Kunitz-type family	0.9524213075637817
Q5YD59	val	other	nontox	0.9099039435386658
E2E4E4	val	other	nontox	0.998561441898346
P04203	val	other	nontox	0.9232071042060852
V5N6J4	val	other	Scoloptoxin family	0.9998656511306763
P83998	val	other	Neurotoxin family	0.9972198009490967
K9IMD0	val	other	nontox	0.9951098561286926
Q92035	val	other	nontox	0.9810411334037781
D2Y2E1	val	other	Neurotoxin family	0.8005504012107849
P0DUV2	val	FARP (FMRFamide related peptide) family	nontox	0.9864335060119629
C0HJT2	val	Non-disulfide-bridged peptide (NDBP) superfamily	nontox	0.9821547269821167
P0DUS8	val	Limacoditoxin family	Neurotoxin family	0.9984725117683411
P0DUS9	val	Limacoditoxin family	Venom Ptu1-like knottin family	0.8493727445602417
P0DUC3	val	Conotoxin family	Vasopressin/oxytocin family	0.9857462644577026
P0C023	val	Formicidae venom family	nontox	0.8045074343681335
P0DN45	val	Teretoxin family	Scoloptoxin family	0.8367809653282166
P60259	val	Long (3 C-C) scorpion toxin superfamily	Long (4 C-C) scorpion toxin superfamily	0.9970971345901489
Q66S03	val	other	nontox	0.9964994192123413
I6S3A9	test	Scoloptoxin family	nontox	0.9798920750617981
A0A6P3CW73	test	nontox	Short scorpion toxin superfamily	0.9999302625656128
P51972	test	nontox	Phospholipase family	0.9952606558799744
B5L5R7	test	nontox	Venom Kunitz-type family	0.9606552720069885
P0CH86	test	nontox	other	0.9248467683792114
P35903	test	nontox	Flavin monoamine oxidase family	0.9666281938552856
P0DMJ4	test	nontox	Venom Kunitz-type family	0.9919828772544861
P0DMX0	test	nontox	Venom Kunitz-type family	0.993447482585907
P0DPF1	test	nontox	Sea anemone type 1 potassium channel toxin family	0.9999297857284546
P0DPT0	test	nontox	other	0.9051598906517029
A0A348G6I7	test	nontox	Formicidae venom family	0.9983094930648804
P0DQU7	test	nontox	Long (4 C-C) scorpion toxin superfamily	0.9999908208847046
P0DQZ9	test	nontox	MCD family	0.9999274015426636
P0DRK6	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.999871015548706
P0DSM0	test	nontox	other	0.9865590333938599
P00601	test	nontox	Phospholipase family	0.9899683594703674
P00620	test	nontox	Phospholipase family	0.9960059523582458
Q58T55	test	nontox	other	0.9198289513587952
P20254	test	nontox	Phospholipase family	0.9885239005088806
P04056	test	nontox	Phospholipase family	0.9907537698745728
P07037	test	nontox	Phospholipase family	0.9896227121353149
P09464	test	nontox	Calycin superfamily	0.976912260055542
P0CG68	test	nontox	other	0.976667046546936
P0DPT9	test	nontox	Phospholipase family	0.8922712802886963
P16354	test	nontox	Phospholipase family	0.9460029006004333
P34180	test	nontox	Phospholipase family	0.991747260093689
P82971	test	nontox	Phospholipase family	0.9530758857727051
P86810	test	nontox	Flavin monoamine oxidase family	0.9989603757858276
Q8UW31	test	nontox	Phospholipase family	0.9908565282821655
A0A182GL09	test	nontox	CRISP family	0.9709057211875916
A7SRR3	test	nontox	Sea anemone type 1 potassium channel toxin family	0.9851795434951782
C0HK72	test	nontox	Venom Kunitz-type family	0.9944038391113281
F8J2F6	test	nontox	Venom Kunitz-type family	0.9814797043800354
L0GAZ8	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.927997350692749
O46202	test	nontox	other	0.8421221971511841
O46227	test	nontox	Conotoxin family	0.9088349342346191
P00994	test	nontox	Venom Kunitz-type family	0.9946221113204956
P10280	test	nontox	Venom Kunitz-type family	0.992753803730011
P42998	test	nontox	Vasopressin/oxytocin family	0.81974196434021
Q17043	test	nontox	Flavin monoamine oxidase family	0.8216168880462646
Q5G8B7	test	nontox	Short scorpion toxin superfamily	0.9992184638977051
Q5G8A8	test	nontox	Long (4 C-C) scorpion toxin superfamily	0.9999902248382568
Q6Q252	test	nontox	other	0.9284813404083252
Q6T6S5	test	nontox	Venom Kunitz-type family	0.9879308938980103
Q75WH5	test	nontox	Neurotoxin family	0.9993873834609985
F8J2F3	test	nontox	Venom Kunitz-type family	0.9853869676589966
F8J2F5	test	nontox	Venom Kunitz-type family	0.9878696799278259
H2A0P0	test	nontox	Venom Kunitz-type family	0.880788266658783
Q910A1	test	nontox	Phospholipase family	0.9946923851966858
Q9I845	test	nontox	Phospholipase family	0.98687344789505
Q9U6W0	test	nontox	other	0.8757068514823914
Q9UB31	test	nontox	PBP/GOBP family	0.9854478240013123
A0A059U8Y9	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9520007371902466
A0A1S4FQ37	test	nontox	other	0.9964154958724976
A0A5H1ZR48	test	nontox	Short scorpion toxin superfamily	0.978743851184845
A7X3V4	test	nontox	Venom Kunitz-type family	0.9895757436752319
Q5BQX9	test	nontox	Neurotoxin family	0.9924252033233643
P0DRG3	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9203768372535706
P0DV61	test	nontox	other	0.9258894324302673
P69844	test	nontox	other	0.8732313513755798
P84590	test	nontox	other	0.970069944858551
P86726	test	nontox	other	0.8795561790466309
Q7M4I3	test	nontox	Peptidase S1 family	0.8625617623329163
P0CJ23	test	other	nontox	0.9997732043266296
P0DJK1	test	other	nontox	0.9898086786270142
P0DP56	test	other	nontox	0.9995638728141785
P0DPV7	test	other	Scoloptoxin family	0.9635360240936279
P0DQY9	test	other	Conotoxin family	0.8254827260971069
P0DXX0	test	other	nontox	0.8031481504440308
P0DRI7	test	other	Conotoxin family	0.9561443328857422
P0DXW7	test	other	Scoloptoxin family	0.9046670794487
A0A141SFN5	test	other	nontox	0.8411557078361511
C0HJC4	test	other	Neurotoxin family	0.998023509979248
P0DL71	test	other	nontox	0.8375595808029175
P0DOZ7	test	FARP (FMRFamide related peptide) family	nontox	0.8685528039932251
P0DUS2	test	Limacoditoxin family	FARP (FMRFamide related peptide) family	0.9519163966178894
P0DUS3	test	Limacoditoxin family	FARP (FMRFamide related peptide) family	0.9540166258811951
P83247	test	Cationic peptide family	Non-disulfide-bridged peptide (NDBP) superfamily	0.8181487321853638
P86147	test	MCD family	Formicidae venom family	0.9891304969787598
P0DN47	test	Teretoxin family	Conotoxin family	0.9887808561325073
A7X3X0	test	other	nontox	0.9894737601280212
P0DRM4	train	nontox	Phospholipase family	0.8007462620735168
Q95P88	train	nontox	Short scorpion toxin superfamily	0.8001757264137268
P80007	train	nontox	Calycin superfamily	0.8036336898803711
A0A1S4EWW7	train	nontox	CRISP family	0.8104752898216248
P19399	train	nontox	other	0.8156105875968933
P82422	train	nontox	other	0.8270899057388306
P80090	train	nontox	Insulin family	0.8203774690628052
A0A1S4GYH9	train	nontox	PBP/GOBP family	0.8367423415184021
P35003	train	nontox	Peptidase S1 family	0.8289144039154053
Q6J201	train	nontox	other	0.83815598487854
P56685	train	nontox	Short scorpion toxin superfamily	0.8485881686210632
P0DSJ9	train	nontox	Formicidae venom family	0.8497357964515686
P35042	train	nontox	Peptidase S1 family	0.8522219061851501
Q7PN86	train	nontox	PBP/GOBP family	0.8453817367553711
P81631	train	Venom metalloproteinase (M12B) family	Disintegrin family	0.8509119153022766
A0A182RFI2	train	nontox	other	0.8511170744895935
P81610	train	nontox	other	0.8480782508850098
P0DV71	train	nontox	Cationic peptide family	0.8660181760787964
A0A0E3SVB8	train	nontox	Teretoxin family	0.8720576763153076
P0CH87	train	nontox	other	0.8635789155960083
Q58T87	train	nontox	other	0.8758148550987244
A0A0K8RJV9	train	nontox	other	0.8733618855476379
P0CJ18	train	nontox	Scoloptoxin family	0.8851133584976196
P0DRB5	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8872253894805908
Q8T0W4	train	nontox	Venom Kunitz-type family	0.8934255242347717
P69129	train	nontox	Vasopressin/oxytocin family	0.8887495994567871
P0DME9	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8807535767555237
P68425	train	nontox	Venom Kunitz-type family	0.8911170363426208
Q6X5T4	train	other	Snaclec family	0.8843868970870972
P16339	train	nontox	Vasopressin/oxytocin family	0.9094762802124023
Q58T61	train	nontox	other	0.9094128608703613
P10831	train	nontox	Venom Kunitz-type family	0.9102193713188171
P81492	train	nontox	other	0.9037011861801147
P69839	train	nontox	other	0.909369170665741
B5KL27	train	nontox	Venom Kunitz-type family	0.9195429682731628
A0A0M3KKW3	train	nontox	other	0.9298865795135498
A0A8K1YTU0	train	nontox	Neurotoxin family	0.9317587018013
P26228	train	nontox	Venom Kunitz-type family	0.9271332621574402
P83411	train	nontox	other	0.924048662185669
R4JQZ0	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9331843852996826
P0CF05	train	nontox	other	0.9239805936813354
A9CM07	train	nontox	Formicidae venom family	0.9384760856628418
Q7M4I6	train	nontox	Phospholipase family	0.9583806395530701
P0C7S1	train	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9484639763832092
Q16S34	train	nontox	PBP/GOBP family	0.9438460469245911
P0DX64	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9582480788230896
Q06B75	train	nontox	other	0.9587663412094116
Q9GQW4	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9517266154289246
P56686	train	nontox	other	0.9483991861343384
A6MFL1	train	nontox	Venom Kunitz-type family	0.9727474451065063
C5J887	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9669421315193176
Q8AY43	train	nontox	Venom Kunitz-type family	0.9788821339607239
P0DRK7	train	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9682018160820007
Q8T0W3	train	nontox	Neurotoxin family	0.9791268706321716
Q9BMK4	train	nontox	Phospholipase family	0.9633404612541199
Q16937	train	nontox	CRISP family	0.979686975479126
P86389	train	nontox	Phospholipase family	0.9946041703224182
P81548	train	nontox	Venom Kunitz-type family	0.9937232136726379
P0DJ46	train	nontox	Venom Kunitz-type family	0.9821572303771973
Q90W99	train	nontox	Venom Kunitz-type family	0.9926053285598755
Q9W716	train	nontox	Three-finger toxin family	0.9997482895851135
P08873	train	nontox	Phospholipase family	0.983662486076355
Q6TS00	train	nontox	PBP/GOBP family	0.9962271451950073
