identifier,counterpart_group,toxic_family
Q4V885,C_type_lectins,Snaclec family
Q8HY10,C_type_lectins,Snaclec family
Q8HY12,C_type_lectins,Snaclec family
Q9H4G4,mammalian_CRISP,CRISP family
P59666,defensins,Long (4 C-C) scorpion toxin superfamily
P60022,defensins,Long (4 C-C) scorpion toxin superfamily
Q9BYW3,defensins,Long (4 C-C) scorpion toxin superfamily
P12838,defensins,Long (4 C-C) scorpion toxin superfamily
Q01524,defensins,Long (4 C-C) scorpion toxin superfamily
Q9H1M4,defensins,Long (4 C-C) scorpion toxin superfamily
Q01523,defensins,Long (4 C-C) scorpion toxin superfamily
P50704,defensins,Long (4 C-C) scorpion toxin superfamily
P28310,defensins,Long (4 C-C) scorpion toxin superfamily
P28309,defensins,Long (4 C-C) scorpion toxin superfamily
B6ULW5,defensins,Long (4 C-C) scorpion toxin superfamily
B6ULW4,defensins,Long (4 C-C) scorpion toxin superfamily
P82271,defensins,Long (4 C-C) scorpion toxin superfamily
Q30KQ9,defensins,Long (4 C-C) scorpion toxin superfamily
Q30KP8,defensins,Long (4 C-C) scorpion toxin superfamily
Q7Z7B7,defensins,Long (4 C-C) scorpion toxin superfamily
Q8N690,defensins,Long (4 C-C) scorpion toxin superfamily
Q8NET1,defensins,Long (4 C-C) scorpion toxin superfamily
Q62713,defensins,Long (4 C-C) scorpion toxin superfamily
O89117,defensins,Long (4 C-C) scorpion toxin superfamily
P50714,defensins,Long (4 C-C) scorpion toxin superfamily
P46165,defensins,Long (4 C-C) scorpion toxin superfamily
P50707,defensins,Long (4 C-C) scorpion toxin superfamily
P50708,defensins,Long (4 C-C) scorpion toxin superfamily
P50711,defensins,Long (4 C-C) scorpion toxin superfamily
Q5G865,defensins,Long (4 C-C) scorpion toxin superfamily
P50705,defensins,Long (4 C-C) scorpion toxin superfamily
Q5G866,defensins,Long (4 C-C) scorpion toxin superfamily
Q62715,defensins,Long (4 C-C) scorpion toxin superfamily
P01376,defensins,Long (4 C-C) scorpion toxin superfamily
P60030,defensins,Long (4 C-C) scorpion toxin superfamily
P82319,defensins,Long (4 C-C) scorpion toxin superfamily
Q64365,defensins,Long (4 C-C) scorpion toxin superfamily
Q95LI0,defensins,Long (4 C-C) scorpion toxin superfamily
P60023,defensins,Long (4 C-C) scorpion toxin superfamily
P60031,defensins,Long (4 C-C) scorpion toxin superfamily
Q9TT12,defensins,Long (4 C-C) scorpion toxin superfamily
Q9BDS9,defensins,Long (4 C-C) scorpion toxin superfamily
Q7Z7B8,defensins,Long (4 C-C) scorpion toxin superfamily
Q30KR1,defensins,Long (4 C-C) scorpion toxin superfamily
P59861,defensins,Long (4 C-C) scorpion toxin superfamily
Q30KQ4,defensins,Long (4 C-C) scorpion toxin superfamily
P23582,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P01160,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P55206,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P13204,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P55207,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
Q61839,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P07501,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P01161,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P27104,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
Q9GLD0,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P24259,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P56283,natriuretic_peptides,"Natriuretic, Bradykinin potentiating peptide family"
P01317,mammalian_insulin,Insulin family
P01326,mammalian_insulin,Insulin family
P01322,mammalian_insulin,Insulin family
P01346,mammalian_insulin,Insulin family
P07456,mammalian_insulin,Insulin family
P01323,mammalian_insulin,Insulin family
P07455,mammalian_insulin,Insulin family
P08025,mammalian_insulin,Insulin family
P23695,mammalian_insulin,Insulin family
P17647,mammalian_insulin,Insulin family
Q68LC0,mammalian_insulin,Insulin family
P51457,mammalian_insulin,Insulin family
P10763,mammalian_insulin,Insulin family
P16545,mammalian_insulin,Insulin family
P33712,mammalian_insulin,Insulin family
P01313,mammalian_insulin,Insulin family
P01311,mammalian_insulin,Insulin family
P30407,mammalian_insulin,Insulin family
P30410,mammalian_insulin,Insulin family
Q6GUL6,mammalian_insulin,Insulin family
Q6JLX1,mammalian_insulin,Insulin family
Q6IVA5,mammalian_insulin,Insulin family
P01324,mammalian_insulin,Insulin family
Q6YK33,mammalian_insulin,Insulin family
Q8HXV2,mammalian_insulin,Insulin family
P01319,mammalian_insulin,Insulin family
P30406,mammalian_insulin,Insulin family
P67974,mammalian_insulin,Insulin family
P01316,mammalian_insulin,Insulin family
P01320,mammalian_insulin,Insulin family
P67973,mammalian_insulin,Insulin family
P18109,mammalian_insulin,Insulin family
P49765,PDGF_VEGF,PDGF/VEGF growth factor family
P04085,PDGF_VEGF,PDGF/VEGF growth factor family
P01127,PDGF_VEGF,PDGF/VEGF growth factor family
O35757,PDGF_VEGF,PDGF/VEGF growth factor family
P20033,PDGF_VEGF,PDGF/VEGF growth factor family
O35485,PDGF_VEGF,PDGF/VEGF growth factor family
P97946,PDGF_VEGF,PDGF/VEGF growth factor family
Q9GZP0,PDGF_VEGF,PDGF/VEGF growth factor family
Q8CI19,PDGF_VEGF,PDGF/VEGF growth factor family
Q925I7,PDGF_VEGF,PDGF/VEGF growth factor family
Q95229,PDGF_VEGF,PDGF/VEGF growth factor family
P12919,PDGF_VEGF,PDGF/VEGF growth factor family
P49151,PDGF_VEGF,PDGF/VEGF growth factor family
P26617,PDGF_VEGF,PDGF/VEGF growth factor family
Q9GKR0,PDGF_VEGF,PDGF/VEGF growth factor family
P01180,vasopressin_oxytocin,Vasopressin/oxytocin family
P01186,vasopressin_oxytocin,Vasopressin/oxytocin family
P35454,vasopressin_oxytocin,Vasopressin/oxytocin family
P01179,vasopressin_oxytocin,Vasopressin/oxytocin family
P01183,vasopressin_oxytocin,Vasopressin/oxytocin family
P01177,vasopressin_oxytocin,Vasopressin/oxytocin family
P13389,vasopressin_oxytocin,Vasopressin/oxytocin family
P69056,vasopressin_oxytocin,Vasopressin/oxytocin family
P69057,vasopressin_oxytocin,Vasopressin/oxytocin family
P69044,vasopressin_oxytocin,Vasopressin/oxytocin family
P04916,lipocalins,Calycin superfamily
P23593,lipocalins,Calycin superfamily
P61641,lipocalins,Calycin superfamily
P18902,lipocalins,Calycin superfamily
M5AXY1,lipocalins,Calycin superfamily
P27485,lipocalins,Calycin superfamily
P06912,lipocalins,Calycin superfamily
Q28369,lipocalins,Calycin superfamily
Q2M385,perforins,Actinoporin family
Q9WV57,perforins,Actinoporin family
P21397,MAO,Flavin monoamine oxidase family
P19643,MAO,Flavin monoamine oxidase family
P56560,MAO,Flavin monoamine oxidase family
P21396,MAO,Flavin monoamine oxidase family
Q5RE98,MAO,Flavin monoamine oxidase family
Q6PLK3,MAO,Flavin monoamine oxidase family
Q7YRB7,MAO,Flavin monoamine oxidase family
P58027,MAO,Flavin monoamine oxidase family
Q6Q2J0,MAO,Flavin monoamine oxidase family
